ID,派發機關數量,派發機關
83475,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
83406,1,內政部
83405,1,內政部
83403,1,內政部
83402,1,內政部
83375,1,臺南市政府
81910,1,內政部
81907,1,內政部
81638,1,台灣電力股份有限公司
81606,1,金融監督管理委員會
81404,1,內政部
81358,1,內政部
81235,1,行政院環境保護署
81229,1,內政部
81227,1,內政部
81225,22,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
81223,1,內政部
81219,1,內政部
81214,1,內政部
81166,1,內政部
81165,1,內政部
81155,1,內政部
81134,1,交通部
81028,1,新北市政府
81027,1,內政部
80961,1,台灣電力股份有限公司
80958,1,內政部
80957,1,內政部
80956,2,內政部,臺北市政府
80955,1,內政部
80821,1,內政部
80818,1,內政部
80813,23,內政部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
80812,1,內政部
80811,1,內政部
80810,1,行政院主計總處
80783,1,內政部
80782,1,內政部
80778,1,交通部
80775,1,勞動部
80774,1,內政部
80564,1,內政部
80463,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
80435,1,交通部
80424,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
80423,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
80257,1,經濟部
79450,1,經濟部
79415,22,內政部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
79281,1,交通部
79192,1,勞動部
79088,1,本平臺營運窗口
79060,1,衛生福利部
78904,1,交通部
78863,1,衛生福利部
78859,1,衛生福利部
78839,1,高雄市政府
78838,1,教育部
78758,1,教育部
78757,1,教育部
78756,1,行政院農業委員會
78755,1,內政部
78752,1,經濟部
78712,1,教育部
78666,1,交通部
78565,20,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府
78498,1,經濟部
78447,1,內政部
78314,1,財政部
78199,1,金融監督管理委員會
78092,2,內政部,法務部
78078,1,內政部
77984,1,衛生福利部
77929,1,交通部
77915,1,內政部
76977,1,臺北市政府
76952,1,本平臺營運窗口
76939,1,內政部
76692,1,國家通訊傳播委員會
76463,1,財政部
76261,1,行政院環境保護署
76193,1,經濟部
75848,1,國家發展委員會
75481,1,教育部
75479,13,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
75434,1,交通部
75423,1,交通部
75374,1,財政部
75277,1,國家發展委員會
75189,1,國家發展委員會
75119,1,教育部
75118,1,經濟部
75030,1,財政部
74933,1,經濟部
74350,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
73403,1,交通部
73165,1,本平臺營運窗口
72990,1,金融監督管理委員會
72025,1,金融監督管理委員會
71336,1,教育部
70999,1,經濟部
70659,1,勞動部
70658,1,勞動部
70562,1,國防部
68598,1,臺南市政府
67367,1,財政部
66231,1,勞動部
65541,1,行政院農業委員會
63295,1,國防部
63024,1,行政院農業委員會
62999,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
62814,1,臺北市政府
62741,1,臺北市政府
62738,1,內政部
62541,1,財政部
61084,1,行政院農業委員會
61078,1,經濟部
61021,1,外交部
59992,1,行政院農業委員會
59988,1,行政院農業委員會
59983,1,行政院農業委員會
59975,1,經濟部
59971,1,經濟部
59969,1,行政院農業委員會
59956,1,行政院農業委員會
59955,1,行政院農業委員會
59953,1,行政院農業委員會
59952,1,行政院農業委員會
59858,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59854,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59853,1,交通部
59852,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59851,1,經濟部
59850,1,交通部
59848,1,交通部
59847,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59845,1,交通部
59844,1,交通部
59687,1,臺北市政府
59626,1,勞動部
59539,1,桃園市政府
59260,1,臺中市政府
59039,1,交通部
59038,1,交通部
59037,1,交通部
59036,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59035,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59034,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59033,1,衛生福利部
59032,1,教育部
59031,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
59013,1,臺北市政府
58915,1,財政部
58647,1,內政部
58601,1,臺中市政府
58246,1,臺北市政府
58060,1,衛生福利部
58006,1,經濟部
57899,1,財政部
57813,1,交通部
57789,1,行政院環境保護署
57711,1,衛生福利部
57705,1,教育部
57704,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
57703,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
57701,1,交通部
57699,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
57037,1,經濟部
56891,1,外交部
56416,1,經濟部
56274,1,行政院農業委員會
55954,1,金融監督管理委員會
55659,1,司法院
55606,14,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,花蓮縣政府,澎湖縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,臺中市政府,臺北市政府
55563,1,交通部
55389,1,台灣電力股份有限公司
55284,1,經濟部
55199,1,本平臺營運窗口
55087,1,教育部
54890,1,金融監督管理委員會
54808,1,本平臺營運窗口
54580,1,臺北市政府
54410,1,國防部
54336,1,衛生福利部
54335,1,桃園市政府
54321,1,行政院環境保護署
54266,1,臺南市政府
54216,1,本平臺營運窗口
54055,1,臺北市政府
53863,1,金融監督管理委員會
53026,1,行政院主計總處
52602,1,衛生福利部
52595,1,嘉義市政府
52593,1,嘉義市政府
52589,1,嘉義市政府
52567,1,本平臺營運窗口
52291,1,本平臺營運窗口
52289,1,內政部
52266,1,行政院農業委員會
52265,1,台灣電力股份有限公司
51900,1,行政院農業委員會
51898,1,台灣電力股份有限公司
51845,1,科技部
49924,1,金融監督管理委員會
49919,1,行政院農業委員會
49862,1,原住民族委員會
49856,1,內政部
49854,1,行政院農業委員會
49822,1,經濟部
49802,2,台灣電力股份有限公司,經濟部
49800,1,臺北市政府
49710,1,交通部
49683,1,臺北市政府
49478,1,臺北市政府
49456,1,交通部
49449,1,本平臺營運窗口
49326,1,經濟部
49318,1,行政院環境保護署
49220,1,衛生福利部
49078,1,內政部
49020,1,內政部
48953,1,科技部
48951,1,經濟部
48851,1,台灣電力股份有限公司
48848,1,台灣電力股份有限公司
48515,1,行政院農業委員會
48507,1,教育部
48493,1,內政部
48427,1,內政部
48378,1,台灣電力股份有限公司
48300,1,交通部
47999,1,經濟部能源局
47916,1,勞動部
47774,1,本平臺營運窗口
47773,1,本平臺營運窗口
47772,1,本平臺營運窗口
47770,1,本平臺營運窗口
47769,1,本平臺營運窗口
47768,1,本平臺營運窗口
47767,1,本平臺營運窗口
47766,1,本平臺營運窗口
47765,1,本平臺營運窗口
47764,1,本平臺營運窗口
47763,1,本平臺營運窗口
47762,1,本平臺營運窗口
47761,1,本平臺營運窗口
47760,1,本平臺營運窗口
47758,1,本平臺營運窗口
47757,1,本平臺營運窗口
47756,1,本平臺營運窗口
47755,1,本平臺營運窗口
47754,1,本平臺營運窗口
47753,1,本平臺營運窗口
47752,1,本平臺營運窗口
47751,1,本平臺營運窗口
47750,1,本平臺營運窗口
47749,1,本平臺營運窗口
47748,1,本平臺營運窗口
47747,1,本平臺營運窗口
47746,1,本平臺營運窗口
47745,1,本平臺營運窗口
47744,1,本平臺營運窗口
47743,1,本平臺營運窗口
47742,1,本平臺營運窗口
47739,1,本平臺營運窗口
47738,1,本平臺營運窗口
47737,1,本平臺營運窗口
47736,1,本平臺營運窗口
47735,1,本平臺營運窗口
47734,1,本平臺營運窗口
47733,1,本平臺營運窗口
47732,1,本平臺營運窗口
47731,1,本平臺營運窗口
47730,1,本平臺營運窗口
47729,1,本平臺營運窗口
47728,1,本平臺營運窗口
47727,1,本平臺營運窗口
47726,1,本平臺營運窗口
47725,1,本平臺營運窗口
47724,1,本平臺營運窗口
47723,1,本平臺營運窗口
47722,1,本平臺營運窗口
47721,1,本平臺營運窗口
47720,1,本平臺營運窗口
47719,1,本平臺營運窗口
47717,1,本平臺營運窗口
47716,1,本平臺營運窗口
47715,1,本平臺營運窗口
47714,1,本平臺營運窗口
47713,1,本平臺營運窗口
47712,1,本平臺營運窗口
47711,1,本平臺營運窗口
47710,1,本平臺營運窗口
47709,1,本平臺營運窗口
47708,1,本平臺營運窗口
47707,1,本平臺營運窗口
47706,1,本平臺營運窗口
47705,1,本平臺營運窗口
47660,1,教育部
47636,9,基隆市政府,屏東縣政府,桃園市政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
47612,1,法務部
47591,1,內政部
47391,1,行政院人事行政總處
47331,1,行政院主計總處
46649,1,本平臺營運窗口
46560,1,衛生福利部
46559,1,教育部
46558,1,教育部
46557,1,國防部
46556,1,教育部
46555,1,教育部
46554,1,教育部
46553,1,教育部
46552,1,交通部
46551,1,經濟部
46550,1,經濟部
46549,1,金融監督管理委員會
46548,1,金融監督管理委員會
46547,1,中央銀行
46546,1,金融監督管理委員會
46545,1,金融監督管理委員會
46544,1,台灣電力股份有限公司
46543,9,嘉義市政府,基隆市政府,宜蘭縣政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46514,10,嘉義市政府,基隆市政府,屏東縣政府,臺中市政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46513,9,嘉義市政府,基隆市政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,交通部,臺南市政府
46512,1,交通部
46510,1,交通部
